Thailand,"cloudless:50,cloudy:45,rain:5,snow:0","cloudless:55,cloudy:35,rain:10,snow:0","cloudless:10,cloudy:70,rain:20,snow:0","cloudless:25,cloudy:35,rain:40,snow:0","cloudless:10,cloudy:40,rain:50,snow:0","cloudless:15,cloudy:15,rain:70,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:35,rain:60,snow:0","cloudless:15,cloudy:50,rain:35,snow:1","cloudless:45,cloudy:50,rain:5,snow:0","cloudless:35,cloudy:60,rain:5,snow:0",0,1,1,1,1,2,2,2,2,2,0,0
Saudi_Arabia,"cloudless:35,cloudy:38,rain:13,snow:14","cloudless:35,cloudy:48,rain:15,snow:2","cloudless:35,cloudy:47,rain:17,snow:1","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:28,cloudy:39,rain:33,snow:0","cloudless:36,cloudy:34,rain:30,snow:0","cloudless:53,cloudy:25,rain:22,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:25,rain:70,snow:0","cloudless:15,cloudy:50,rain:35,snow:0","cloudless:35,cloudy:55,rain:10,snow:0","cloudless:35,cloudy:60,rain:5,snow:0",0,0,0,1,1,1,1,1,1,1,0,0
Japan,"cloudless:50,cloudy:30,rain:15,snow:5","cloudless:40,cloudy:35,rain:20,snow:5","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:25,cloudy:45,rain:30,snow:0","cloudless:15,cloudy:40,rain:45,snow:0","cloudless:15,cloudy:45,rain:40,snow:0","cloudless:20,cloudy:45,rain:35,snow:0","cloudless:20,cloudy:40,rain:40,snow:0","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:45,cloudy:30,rain:25,snow:0","cloudless:60,cloudy:25,rain:15,snow:0",3,3,0,0,0,1,1,1,2,2,2,3
South_Korea,"cloudless:50,cloudy:30,rain:15,snow:5","cloudless:40,cloudy:35,rain:20,snow:5","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:25,cloudy:45,rain:30,snow:0","cloudless:15,cloudy:40,rain:45,snow:0","cloudless:15,cloudy:45,rain:40,snow:0","cloudless:20,cloudy:45,rain:35,snow:0","cloudless:20,cloudy:40,rain:40,snow:0","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:45,cloudy:30,rain:25,snow:0","cloudless:55,cloudy:25,rain:15,snow:5",3,3,0,0,0,1,1,1,2,2,2,3
Portugal,"cloudless:31,cloudy:47,rain:16,snow:5","cloudless:35,cloudy:37,rain:16,snow:2","cloudless:36,cloudy:50,rain:14,snow:0","cloudless:35,cloudy:44,rain:21,snow:0","cloudless:38,cloudy:40,rain:22,snow:0","cloudless:50,cloudy:37,rain:13,snow:0","cloudless:76,cloudy:20,rain:4,snow:0","cloudless:65,cloudy:29,rain:6,snow:0","cloudless:45,cloudy:45,rain:10,snow:0","cloudless:33,cloudy:49,rain:18,snow:0","cloudless:32,cloudy:48,rain:20,snow:0","cloudless:30,cloudy:48,rain:17,snow:5",3,3,0,0,0,1,1,1,1,2,2,3
Netherland,"cloudless:11,cloudy:44,rain:15,snow:20","cloudless:14,cloudy:52,rain:22,snow:12","cloudless:18,cloudy:57,rain:17,snow:8","cloudless:22,cloudy:62,rain:16,snow:0","cloudless:27,cloudy:49,rain:24,snow:0","cloudless:27,cloudy:46,rain:27,snow:0","cloudless:28,cloudy:44,rain:28,snow:0","cloudless:28,cloudy:47,rain:25,snow:0","cloudless:27,cloudy:53,rain:20,snow:0","cloudless:20,cloudy:60,rain:20,snow:0","cloudless:10,cloudy:60,rain:19,snow:11","cloudless:8,cloudy:45,rain:27,snow:20",3,3,0,0,0,1,1,1,2,2,2,3
Bangladesh,"cloudless:45,cloudy:45,rain:5,snow:5","cloudless:45,cloudy:35,rain:15,snow:5","cloudless:35,cloudy:45,rain:20,snow:0","cloudless:30,cloudy:45,rain:25,snow:0","cloudless:25,cloudy:40,rain:35,snow:0","cloudless:15,cloudy:25,rain:60,snow:0","cloudless:15,cloudy:20,rain:65,snow:0","cloudless:15,cloudy:15,rain:70,snow:0","cloudless:10,cloudy:15,rain:75,snow:0","cloudless:10,cloudy:20,rain:65,snow:5","cloudless:35,cloudy:30,rain:30,snow:5","cloudless:25,cloudy:55,rain:15,snow:5",3,3,0,0,0,1,1,2,2,2,3,3
South_Africa,"cloudless:40,cloudy:20,rain:40,snow:0","cloudless:40,cloudy:25,rain:35,snow:0","cloudless:40,cloudy:35,rain:25,snow:0","cloudless:40,cloudy:30,rain:20,snow:10","cloudless:20,cloudy:20,rain:30,snow:30","cloudless:30,cloudy:20,rain:25,snow:25","cloudless:30,cloudy:25,rain:30,snow:15","cloudless:50,cloudy:35,rain:10,snow:5","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:40,cloudy:20,rain:40,snow:0","cloudless:45,cloudy:10,rain:45,snow:0",1,1,2,2,3,3,3,0,0,0,1,1
Malaysia,"cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:10,cloudy:30,rain:60,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:40,cloudy:20,rain:40,snow:0","cloudless:50,cloudy:20,rain:30,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:20,cloudy:25,rain:55,snow:0","cloudless:10,cloudy:20,rain:70,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:20,rain:75,snow:0",2,0,1,1,1,1,1,1,1,1,1,2
Egypt,"cloudless:45,cloudy:30,rain:25,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:55,cloudy:40,rain:5,snow:0","cloudless:60,cloudy:40,rain:0,snow:0","cloudless:65,cloudy:35,rain:0,snow:0","cloudless:70,cloudy:30,rain:0,snow:0","cloudless:80,cloudy:20,rain:0,snow:0","cloudless:80,cloudy:20,rain:0,snow:0","cloudless:70,cloudy:30,rain:0,snow:0","cloudless:60,cloudy:40,rain:0,snow:0","cloudless:45,cloudy:35,rain:20,snow:0","cloudless:45,cloudy:30,rain:25,snow:0",3,3,0,0,0,1,1,1,1,2,2,3
Vietnam,"cloudless:55,cloudy:40,rain:5,snow:0","cloudless:55,cloudy:40,rain:5,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:25,cloudy:25,rain:50,snow:0","cloudless:15,cloudy:25,rain:60,snow:0","cloudless:15,cloudy:15,rain:70,snow:0","cloudless:15,cloudy:15,rain:70,snow:0","cloudless:15,cloudy:25,rain:60,snow:0","cloudless:25,cloudy:25,rain:50,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:40,cloudy:40,rain:20,snow:0",3,3,3,0,1,1,1,1,1,2,3,3
Russia,"cloudless:15,cloudy:15,rain:0,snow:70","cloudless:25,cloudy:15,rain:0,snow:60","cloudless:25,cloudy:25,rain:0,snow:50","cloudless:40,cloudy:35,rain:20,snow:5","cloudless:35,cloudy:25,rain:35,snow:5","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:40,cloudy:25,rain:35,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:30,cloudy:45,rain:25,snow:0","cloudless:20,cloudy:55,rain:15,snow:10","cloudless:25,cloudy:25,rain:10,snow:40","cloudless:15,cloudy:15,rain:0,snow:70",3,3,3,0,0,0,1,1,2,2,3,3
Colombia,"cloudless:65,cloudy:30,rain:5,snow:0","cloudless:55,cloudy:30,rain:15,snow:0","cloudless:45,cloudy:30,rain:25,snow:0","cloudless:15,cloudy:30,rain:55,snow:0","cloudless:10,cloudy:30,rain:60,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:65,cloudy:30,rain:5,snow:0","cloudless:50,cloudy:30,rain:20,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:10,cloudy:30,rain:60,snow:0","cloudless:65,cloudy:30,rain:5,snow:0",3,3,0,0,0,0,1,1,2,2,2,3
India,"cloudless:40,cloudy:40,rain:15,snow:5","cloudless:65,cloudy:30,rain:5,snow:0","cloudless:60,cloudy:40,rain:0,snow:0","cloudless:50,cloudy:50,rain:0,snow:0","cloudless:40,cloudy:60,rain:0,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:10,cloudy:30,rain:60,snow:0","cloudless:10,cloudy:30,rain:60,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:10,cloudy:45,rain:40,snow:5","cloudless:30,cloudy:30,rain:30,snow:10",3,3,1,1,1,2,2,2,2,2,3,3
Scotland,"cloudless:30,cloudy:30,rain:40,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:50,cloudy:15,rain:35,snow:0","cloudless:50,cloudy:10,rain:40,snow:0","cloudless:40,cloudy:20,rain:40,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:30,cloudy:20,rain:50,snow:0","cloudless:30,cloudy:25,rain:45,snow:0",3,3,0,0,0,1,1,1,2,2,2,3
Ecuador,"cloudless:10,cloudy:40,rain:50,snow:0","cloudless:10,cloudy:40,rain:50,snow:0","cloudless:20,cloudy:40,rain:40,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:60,cloudy:30,rain:10,snow:0","cloudless:70,cloudy:25,rain:5,snow:0","cloudless:75,cloudy:25,rain:0,snow:0","cloudless:75,cloudy:25,rain:0,snow:0","cloudless:70,cloudy:25,rain:5,snow:0","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:20,cloudy:40,rain:40,snow:0","cloudless:10,cloudy:40,rain:50,snow:0",3,3,3,3,0,1,1,1,1,1,2,3
Greece,"cloudless:20,cloudy:30,rain:50,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:50,cloudy:40,rain:10,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:65,cloudy:30,rain:5,snow:0","cloudless:55,cloudy:40,rain:5,snow:0","cloudless:35,cloudy:45,rain:20,snow:0","cloudless:20,cloudy:50,rain:30,snow:0","cloudless:20,cloudy:40,rain:40,snow:0",3,3,0,1,1,1,1,1,1,2,3,3
Peru,"cloudless:20,cloudy:30,rain:50,snow:0","cloudless:20,cloudy:30,rain:50,snow:0","cloudless:30,cloudy:30,rain:40,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:80,cloudy:10,rain:10,snow:0","cloudless:85,cloudy:10,rain:5,snow:0","cloudless:95,cloudy:5,rain:0,snow:0","cloudless:85,cloudy:10,rain:5,snow:0","cloudless:80,cloudy:10,rain:10,snow:0","cloudless:45,cloudy:35,rain:20,snow:0","cloudless:35,cloudy:45,rain:20,snow:0","cloudless:20,cloudy:40,rain:40,snow:0",1,1,1,2,3,3,3,3,3,0,0,1
Belgium,"cloudless:20,cloudy:20,rain:30,snow:30","cloudless:20,cloudy:40,rain:25,snow:15","cloudless:20,cloudy:60,rain:15,snow:5","cloudless:25,cloudy:60,rain:15,snow:0","cloudless:25,cloudy:60,rain:15,snow:0","cloudless:40,cloudy:20,rain:40,snow:0","cloudless:40,cloudy:20,rain:40,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:30,cloudy:20,rain:50,snow:0","cloudless:20,cloudy:20,rain:60,snow:0","cloudless:20,cloudy:20,rain:60,snow:0","cloudless:20,cloudy:20,rain:40,snow:20",3,3,0,0,0,1,1,1,2,2,2,3
Iran,"cloudless:10,cloudy:10,rain:60,snow:20","cloudless:5,cloudy:5,rain:65,snow:25","cloudless:10,cloudy:10,rain:60,snow:20","cloudless:20,cloudy:30,rain:45,snow:5","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:70,cloudy:20,rain:10,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:60,cloudy:20,rain:20,snow:0","cloudless:20,cloudy:20,rain:60,snow:0","cloudless:10,cloudy:10,rain:70,snow:10","cloudless:10,cloudy:10,rain:60,snow:20",3,3,3,0,0,0,1,1,2,2,2,3
Morocco,"cloudless:20,cloudy:40,rain:20,snow:20","cloudless:30,cloudy:45,rain:15,snow:10","cloudless:50,cloudy:35,rain:10,snow:5","cloudless:50,cloudy:40,rain:10,snow:0","cloudless:60,cloudy:35,rain:5,snow:0","cloudless:70,cloudy:25,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:60,cloudy:35,rain:5,snow:0","cloudless:50,cloudy:40,rain:10,snow:0","cloudless:40,cloudy:40,rain:15,snow:5","cloudless:30,cloudy:40,rain:20,snow:10",3,3,0,0,0,1,1,1,2,2,3,3
Algeria,"cloudless:10,cloudy:20,rain:50,snow:20","cloudless:20,cloudy:30,rain:40,snow:10","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:45,cloudy:40,rain:15,snow:0","cloudless:60,cloudy:30,rain:10,snow:0","cloudless:65,cloudy:35,rain:0,snow:0","cloudless:70,cloudy:30,rain:0,snow:0","cloudless:60,cloudy:40,rain:0,snow:0","cloudless:40,cloudy:50,rain:10,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:30,cloudy:30,rain:30,snow:10","cloudless:20,cloudy:20,rain:40,snow:20",3,3,0,0,0,0,1,1,1,2,2,3
Paraguay,"cloudless:40,cloudy:20,rain:40,snow:0","cloudless:40,cloudy:25,rain:35,snow:0","cloudless:40,cloudy:35,rain:25,snow:0","cloudless:40,cloudy:30,rain:20,snow:10","cloudless:20,cloudy:20,rain:30,snow:30","cloudless:30,cloudy:20,rain:25,snow:25","cloudless:35,cloudy:45,rain:20,snow:0","cloudless:25,cloudy:45,rain:20,snow:0","cloudless:40,cloudy:40,rain:20,snow:0","cloudless:40,cloudy:20,rain:30,snow:0","cloudless:50,cloudy:20,rain:30,snow:0","cloudless:55,cloudy:15,rain:30,snow:0",1,1,2,2,2,3,3,3,0,0,0,1
Croatia,"cloudless:30,cloudy:30,rain:20,snow:20","cloudless:35,cloudy:30,rain:20,snow:15","cloudless:40,cloudy:35,rain:20,snow:5","cloudless:50,cloudy:30,rain:20,snow:0","cloudless:60,cloudy:30,rain:10,snow:0","cloudless:70,cloudy:25,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:80,cloudy:15,rain:5,snow:0","cloudless:65,cloudy:25,rain:10,snow:0","cloudless:50,cloudy:35,rain:15,snow:0","cloudless:40,cloudy:35,rain:20,snow:5","cloudless:30,cloudy:30,rain:20,snow:20",3,3,0,0,0,1,1,1,2,2,2,3
Venezuela,"cloudless:25,cloudy:20,rain:55,snow:0","cloudless:26,cloudy:28,rain:46,snow:0","cloudless:30,cloudy:22,rain:48,snow:0","cloudless:50,cloudy:18,rain:32,snow:0","cloudless:57,cloudy:17,rain:26,snow:0","cloudless:57,cloudy:26,rain:17,snow:0","cloudless:60,cloudy:22,rain:18,snow:0","cloudless:63,cloudy:20,rain:17,snow:0","cloudless:55,cloudy:15,rain:30,snow:0","cloudless:40,cloudy:27,rain:33,snow:0","cloudless:50,cloudy:33,rain:17,snow:0","cloudless:25,cloudy:15,rain:60,snow:0",0,0,0,0,2,2,2,1,1,1,0,0
