Id_,EN,FR,IT,DE,ES,JA,PT,RU,ZH_CN,ZH_TW,ZH_HK,KO,AR,NL,TR,ID,TH,VI,EN_GB,FA,PL,SV,HI
MissFar_1,MISSED,RATÉ,MANCATO,DANEBEN,FALLADO,ミス,FALHOU,МИМО,射飞了,打飛機,打飛機,놓침,ضائعة,GEMIST,Kaçırdı,MELESET,พลาด,BỎ LỠ,,,Pudło,,
SaveNormal_1,SAVE,SAUVÉ,PARATO,SPEICHERN,PARADA,セーブ,DEFENDEU,СЕЙВ,扑出,打手搥,打手搥,세이브,تم صدها,REDDING,Kurtardı,DISELAMATKAN,ป้องกันไว้ได้,CỨU THUA,,,Obrona,,
SaveSpecial_1,WHAT A SAVE,QUEL SAUVETAGE,CHE SALVATAGGIO,GUT GEHALTEN,¡QUE PARADA!,なんというセーブ,QUE DEFESA,КАКОЙ СЕЙВ,没收,撲到盡,撲到盡,멋진 세이브에요,صدّة رائعة,WAT EEN REDDING,O nasıl kurtarış,PENYELAMATAN YANG BAGUS,เซฟได้เยี่ยม,PHA CỨU THUA,,,Co za obrona,,
Owngoal_1,OWN GOAL,CONTRE SON CAMP,AUTOGOAL,EIGENTOR,AUTOGOL,オウンゴール,AUTO GOLO,АВТОГОЛ,乌龙球,擺烏龍,擺烏龍,자책골,هدف ذاتي,EIGEN DOELPUNT,Kendi kalesine gol atmak,GOL BUNUH DIRI,ยิงเข้าประตูตัวเอง,PHẢN LƯỚI NHÀ,,,Samobòj,,
KickOut_1,OUT,SORTIE,FUORI DAI PALI,AUS,FUERA,アウト,FORA,АУТ,出界,射出界,射出界,아웃,الكرة خارج الملعب,UIT,Dışarı,KELUAR,ออก,BÓNG RA NGOÀI,,,aut,,
Offside_1,OFFSIDE,HORS-JEUX,FUORIGIOCO,ABSEITS,FUERA DE JUEGO,オフサイド,FORA DE JOGO,ОФФСАЙД,越位,恰西,恰西,오프사이드,تسلل,BUITENSPEL,Offside,OFFSIDE,ล้ำหน้า,VIỆT VỊ,,,spalony,,
Intercepted,INTERCEPTED,INTERCEPTÉ,INTERCETTATO,ABGEFANGEN,INTERCEPTADO,インターセプト,INTERCEPTADO,ПЕРЕХВАЧЕНО,拦截,斷纜,斷纜,인터셉트,إعتراض للكرة,ONDERSCHEPT,Yakalandı,Dicegat,สกัด,CẮT BÓNG,,,Przechwycenie,,
EnglishC_Rotherham,Rotherham,Rotherham,Rotherham,Rotherham,Rotherham,ロザラム,Rotherham,Ротерхэм,罗瑟勒姆,洛達咸,洛達咸,로더 럼,روثرهام,Rotherham,Rotherham,Rotherham,โรเธอร์แฮม,Rotherham,,,Rotterdam,,
EnglishC_Bolton,Bolton,Boulonner,Bolton,Bolton,Bolton,ボルトン,Bolton,Болтон,博尔顿,保頓,保頓,볼튼,بولتون,Bolton,Bolton,Bolton,โบลตัน,Bolton,,,Bolton,,
EnglishC_Ipswich,Ipswich,Ipswich,Ipswich,Ipswich,Ipswich,イプスウィッチ,Ipswich,Ипсвич,伊普斯维奇,伊普斯維奇,伊普斯維奇,입 스위치,إبسويتش,Ipswich,Ipswich,Ipswich,อิปสวิช,Ipswich,,,Ipswich,,
EnglishC_Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,ポーツマス,Portsmouth,Портсмут,朴茨茅斯,樸茨茅夫,樸茨茅夫,포츠머스,بورتسموث,Portsmouth,Portsmouth,Portsmouth,พอร์ตสมัธ,Portsmouth,,,Portsmouth,,
EnglishC_Sunderland,Sunderland,Sunderland,Sunderland,Sunderland,Sunderland,サンダーランド,Sunderland,Сандерленд,桑德兰,新特蘭,新特蘭,선더랜드,سندرلاند,Sunderland,Sunderland,Sunderland,ซันเดอร์แลนด์,Sunderland,,,Sunderland,,
EnglishC_Doncaster,Doncaster,Doncaster,Doncaster,Doncaster,Doncaster,ドンカスター,Doncaster,Донкастер,唐克斯特,唐卡斯特,唐卡斯特,돈 캐스터,دونكاستر,Doncaster,Doncaster,Doncaster,ดอนคาสเตอร์,Doncaster,,,Doncaster,,
EnglishC_Peterborough,Peterborough,Peterborough,Peterborough,Peterborough,Peterborough,ピーターバラ,Peterborough,Питерборо,彼得伯勒,彼得堡,彼得堡,피터 버러,بيتربورو,Peterborough,Peterborough,Peterborough,ปีเตอร์โบโรห์,Peterborough,,,Peterborough,,
EnglishC_Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,コベントリー,Coventry,Ковентри,考文垂,高雲地利,高雲地利,코번 트리,كوفنتري,Coventry,Coventry,Coventry,โคเวนทรี,Coventry,,,Coventry,,
EnglishC_Burton,Burton,Burton,Burton,Burton,Burton,バートン,Burton,Бертон,特伦特河畔伯顿,特倫特河畔伯頓,特倫特河畔伯頓,버턴,برتون,Burton,Burton,Burton,เบอร์ตัน,Burton,,,Burton,,
EnglishC_Blackpool,Blackpool,Blackpool,Blackpool,Blackpool,Blackpool,ブラックプール,Blackpool,Блэкпул,布莱克浦,布拉克普耳,布拉克普耳,블랙 풀,بلاكبول,Blackpool,Blackpool,Blackpool,แบล็คพูล,Blackpool,,,Blackpool,,
EnglishC_Fleetwood,Fleetwood,Fleetwood,Fleetwood,Fleetwood,Fleetwood,フリートウッド,Fleetwood,Флитвуд,弗利特伍德,費列活特,費列活特,플리트우드,فليتوود,Fleetwood,Fleetwood,Fleetwood,ฟลีตวูด,Fleetwood,,,Fleetwood,,
EnglishC_Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,オックスフォード,Oxford,Оксфорд,牛津,牛津,牛津,옥스퍼드,أكسفورد,Oxford,Oxford,Oxford,ออกซ์ฟอร์ด,Oxford,,,Oxford,,
EnglishC_Gillingham,Gillingham,Gillingham,Gillingham,Gillingham,Gillingham,ジリンガム,Gillingham,Гиллинхем,吉林汉姆,吉林漢姆,吉林漢姆,질링엄,جيلينجهام,Gillingham,Gillingham,Gillingham,จิลลิ่งแฮม,Gillingham,,,Gillingham,,
EnglishB_Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,カーディフ,Cardiff,Кардифф,卡迪夫,卡迪夫,卡迪夫,카디프,كارديف,Cardiff,Cardiff,Cardiff,คาร์ดิฟฟ์,Cardiff,,,Cardiff,,
EnglishB_Huddersfield,Huddersfield,Huddersfield,Huddersfield,Huddersfield,Huddersfield,ハダーズフィールド,Huddersfield,Хаддерсфилд,哈德斯菲尔德,哈德斯菲爾德,哈德斯菲爾德,허더즈필드,هيدرسفيلد,Huddersfield,Huddersfield,Huddersfield,ฮัดเดอร์สฟิลด์,Huddersfield,,,Huddersfield,,
EnglishB_Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,リーズ,Leeds,Лидс,利兹,列斯,列斯,리즈,ليدز,Leeds,Leeds,Leeds,ลีดส์,Leeds,,,Leeds,,
EnglishB_WestBromwich,WestBromwich,WestBromwich,WestBromwich,WestBromwich,WestBromwich,ウェストブロムウィッチ,WestBromwich,Вест Бромвич,西布罗米奇,西布朗,西布朗,웨스트브로미치,وست بروميتش,WestBromwich,WestBromwich,WestBromwich,เวสต์บรอมวิช,WestBromwich,,,WestBromwich,,
EnglishB_Derbyshire,Derbyshire,Derbyshire,Derbyshire,Derbyshire,Derbyshire,ダービーシャー,Derbyshire,Дербишир,德比郡,打比郡,打比郡,더비셔,ديربيشاير,Derbyshire,Derbyshire,Derbyshire,เดอร์บี้เชียร์,Derbyshire,,,Derbyshire,,
EnglishB_Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,ミドルスブラ,Middlesbrough,Мидлсбро,米德尔斯伯勒,米杜士堡,米杜士堡,미들즈브러,ميدلسبره,Middlesbrough,Middlesbrough,Middlesbrough,มิดเดิลสโบรห์,Middlesbrough,,,Middlesbrough,,
EnglishB_Bristol,Bristol,Bristol,Bristol,Bristol,Bristol,ブリストル,Bristol,Бристоль,布里斯托,布里斯托,布里斯托,브리스톨,بريستول,Bristol,Bristol,Bristol,บริสตอล,Bristol,,,Bristol,,
EnglishB_Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,ノッティンガム,Nottingham,Ноттингем,诺丁汉,諾定咸,諾定咸,노팅엄,نوتنغهام,Nottingham,Nottingham,Nottingham,น็อตติงแฮม,Nottingham,,,Nottingham,,
EnglishB_Swansea,Swansea,Swansea,Swansea,Swansea,Swansea,スウォンジー,Swansea,Суонси,斯旺西,斯旺西,斯旺西,스완 지,سوانزي,Swansea,Swansea,Swansea,สวอนซี,Swansea,,,Swansea,,
EnglishB_Brentford,Brentford,Brentford,Brentford,Brentford,Brentford,ブレントフォード,Brentford,Брентфорд,宾福特,賓福特,賓福特,브렌트퍼드,برينتفورد,Brentford,Brentford,Brentford,เบรนท์ฟอร์ด,Brentford,,,Brentford,,
EnglishB_Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,シェフィールド,Sheffield,Шеффилд,谢菲尔德,謝菲爾德,謝菲爾德,셰필드,شيفيلد,Sheffield,Sheffield,Sheffield,เชฟฟิลด์,Sheffield,,,Sheffield,,
EnglishB_Hull,Hull,coque,Scafo,Rumpf,Hull,ハルシティ,Hull,Халл,赫尔,赫爾,赫爾,선체,هال,Romp,Hull,Hull,ฮัลล์,Thân tàu,,,Hull,,
EnglishB_Preston,Preston,Preston,Preston,Preston,Preston,プレストン,Preston,Престон,普雷斯顿,普雷斯頓,普雷斯頓,프레스턴,بريستون,Preston,Preston,Preston,เพรสตัน,Preston,,,Preston,,
PortugueseA_Benfica,Lisboa Red,Rouge Lisboa,Lisboa Red,Lisboa Rot,Lisboa Rojo,リスボンレッド,Lisboa Vermelho,Лиссабон Красный,里斯本 红,賓菲加,賓菲加,리스 보아 레드,لشبونة ريد,Lisboa Red,Lisboa Kırmızı,Lisboa Merah,ลิสบัวแดง,Lisboa đỏ,,,Lizbona Czerwień,,
PortugueseA_Porto,Porto Blue,Bleu Porto,Porto Blue,Porto Blau,Porto Azul,ポルトブルー,Porto Azul,Порту Синий,波尔图 蓝,波圖,波圖,포르토 블루,بورتو الأزرق,Porto Blauw,Porto Mavisi,Porto biru,ปอร์โต้บลู,Xanh Porto,,,Porto Błękit,,
PortugueseA_SportingClubedePortugal,Lisboa Green,Lisboa Green,Lisboa Green,Lisboa Green,Lisboa Verde,リスボングリーン,Lisboa Verde,Лиссабон Зеленый,里斯本 绿,士砵亭,士砵亭,리스 보아 그린,لشبونة جرين,Lisboa Green,Lisboa Yeşil,Lisboa Hijau,ลิสบัวเขียว,Lisboa Green,,,Lizbona Zieleń,,
PortugueseA_SportingClubedeBraga,Braga,Braga,Braga,Braga,Braga,ブラガ,Braga,Брага,布拉加,布拉加,布拉加,브라가,براغا,Braga,Braga,Braga,บรากา,Braga,,,Braga,,
PortugueseA_VitóriadeGuimarães,Guimaraes White,Guimaraes Blanc,Guimaraes White,Guimaraes Weiß,Blanco Guimaraes,ギマランイスホワイト,Guimarães Branco,Гимарайнш Белый,吉马良斯 白,吉馬良斯 白,吉馬良斯 白,기마랑이스 화이트,غيماراس ريد,Guimaraes White,Guimaraes Beyaz,Guimares Putih,กุยมาเรสขาว,Guimaraes trắng,,,Guimaraes Biel,,
PortugueseA_MoreirenseF.C.,Guimaraes Green,Vert Guimaraes,Guimaraes Green,Guimaraes Grün,Verde Guimaraes,ギマランイスグリーン,Verde de Guimarães,Гимарайнш Зеленый,吉马良斯 绿,吉馬良斯 綠,吉馬良斯 綠,기마랑이스 그린,غيماراس الأخضر,Guimaraes Green,Guimaraes Yeşil,Guimares Hijau,กุยมาเรสเขียว,Guimaraes Green,,,Guimaraes Zieleń,,
PortugueseA_Conde,Conde,Condé,Conde,Conde,Conde,コンデ,Conde,Конде,孔迪镇,康德,康德,콩드,كوندي,Conde,Conde,Conde,คอนเด้,Conde,,,Conde,,
PortugueseA_BoavistaF.C.,Porto BW,Porto BW,Porto BW,Porto BW,Porto BW,ポルトBW,Porto Preto e branco,Порту Черно-Синий,波尔图 黑白,波圖 黑白,波圖 黑白,포르토 BW,بورتو بي دبليو,Porto BW,Porto BW,Porto Biru Putih,ปอร์โต,Porto BR,,,Porto BW,,
PortugueseA_B-SAD,Lisboa Blue,Bleu Lisboa,Lisboa Blue,Lisboa Blue,Lisboa Azul,リスボンブルー,Lisboa Azul,Лиссабон Белый,里斯本 蓝,里斯本 藍,里斯本 藍,리스 보아 블루,لشبونة بلو,Lisboa Blue,Lisboa Mavisi,Lisboa Biru,ลิสบัวน้ำเงิน,Lisboa Blue,,,Lizbona Błekit,,
PortugueseA_Marítimo,Ponta Delgada,Ponta Delgada,Ponta Delgada,Ponta Delgada,Ponta Delgada,ポンタデルガダ,Ponta Delgada,Понта-Делгада,蓬塔德尔加达,蓬塔德爾加達,蓬塔德爾加達,폰타 델 가다,بونتا ديلجادا,Ponta Delgada,Ponta Delgada,Ponta Delgada,ปอนตาเดลกาดา,Ponta Delgada,,,Ponta Delgada,,
PortugueseA_C.S.Marítimo,Funchal RG,Funchal RG,Funchal RG,Funchal RG,Funchal RG,フンシャルRG,Funchal RG,Фуншал RG,丰沙尔RG,豐沙爾RG,豐沙爾RG,펀샬 RG,فونشال RG,Funchal RG,Funchal RG,Funchal RG,ฟุงชาล RG,Funchal RG,,,Funchal RG,,
PortugueseA_PortimonenseS.C.,Portimao,Portimao,Portimao,Portimao,Portimao,ポルティマン,Portimão,Портимао,波尔蒂芒,樸迪莫倫斯,樸迪莫倫斯,포르티망,بورتيماو,Portimao,Portimao,Portimao,ปอร์ติเมา,Portimao,,,Portimao,,
PortugueseA_Setubal,Setubal,Setubal,Setubal,Setubal,Setúbal,セトゥーバル,Setúbal,Сетубал,塞图巴尔,塞圖巴爾,塞圖巴爾,세 투발,سيتوبال,Setubal,Setubal,Setubal,เซตูบัล,Setubal,,,Setubal,,
PortugueseA_GilVicenteFutebolClube,Barcelos,Barcelos,Barcelos,Barcelos,Barcelos,バルセロス,Barcelos,Барселуш,巴塞卢什,巴塞盧什,巴塞盧什,바르셀루스,بارسيلوس,Barcelos,Barcelos,Barcelos,บาร์เซโล,Barcelos,,,Barcelos,,
PortugueseA_CDSantaClara,Azores,Açores,Azzorre,Azoren,Açores,アゾレス,Açores,Азорские,亚速尔,亞速爾,亞速爾,아소르스 제도,الأزور,Azoren,Azorlar,Azores,อะโซร์ส,Açores,,,Azory,,
PortugueseA_F.C.Famalicão,Vila Nova de Famalicão,Vila Nova de Famalicão,Vila Nova de Famalicão,Vila Nova de Famalicão,Vila Nova de Famalicão,ヴィラ ノヴァ デ ファマリカン,Vila Nova de Famalicão,Вила-Нова-ди-Фамаликан,法马利康,法馬利康,法馬利康,빌라 노바 데 파말리카오,فيلا نوفا دي فاماليكاو,Vila Nova de Famalicão,Vila Nova de Famalicão,Vila Nova de Famalicão,วีลาโนวา เจ ฟามาลีเกา,Vila Nova de Famalicão,,,Vila Nova de Famalicão,,
PortugueseA_G.D.EstorilPraia,Estoril,Estoril,Estoril,Estoril,Estoril,エストリル,Estoril,Эшторил,埃什托里尔,埃什托里爾,埃什托里爾,이스토릴,إستوريل,Estoril,Estoril,Estoril,เอสโตริล,Estoril,,,Estoril,,
PortugueseA_F.C.PaçosdeFerreira,Ferreiras,Ferreiras,Ferreira,Ferreiras,Ferreira,フェレイラス,Ferreira,Феррейрас,费雷拉斯,費雷拉斯,費雷拉斯,페레이라스,فيريراس,Ferreiras,Ferreiralar,Ferreiras,เฟอร์ไรราส,Ferreiras,,,Ferreiras,,
PortugueseA_F.C.Vizela,Vizela,Vizela,Vizela,Vizela,Vizela,ビゼラ,Vizela,Визела,维泽拉,維澤拉,維澤拉,비젤라,فيزيلا,Vizela,Vizela,Vizela,วิเซลา,Vizela,,,Vizela,,
PortugueseA_F.C.Arouca,Arouca,Arouca,Arouca,Arouca,Arouca,アロウカ,Arouca,Арока,阿罗卡,阿羅卡,阿羅卡,아로카,أروكا,Arouca,Arouca,Arouca,อะรัวค่า,Arouca,,,Arouca,,
PortugueseA_C.D.Tondela,Tondela,Tondela,Tondela,Tondela,Tondela,トンデラ,Tondela,Тондела,通德拉,通德拉,通德拉,톤델라,تونديلا,Tondela,Tondela,Tondela,ทอนเดลา,Tondela,,,Tondela,,
FrenchA_Paris,Paris,Paris,Parigi,Paris,París,パリ,Paris,Париж,巴黎,巴黎,巴黎,파리,باريس,Parijs,Paris,Paris,ปารีส,Paris,,,Paryż,,
FrenchA_Lille,Lille,Lille,Lille,Lille,Lille,リール,Lille,Лилль,里尔,里爾,里爾,릴,ليل,Lille,Lille,Lille,ลีลล์,Lille,,,Lille,,
FrenchA_Lyon,Lyon,Lyon,Lione,Lyon,Lyon,リヨン,Lyon,Лион,里昂,里昂,里昂,리옹,ليون,Lyon,Lyon,Lyon,ลียง,Lyon,,,Lyon,,
FrenchA_SaintEtienne,Saint Etienne,Saint-Étienne,Saint Etienne,Saint Etienne,Saint Etienne,サンテティエンヌ,Saint Etienne,Сент-Этьен,圣埃蒂安,聖伊天,聖伊天,생테티엔,سانت إتيان,Saint Etienne,Saint Etienne,Saint Etienne,แซงต์เอเตียน,Thánh địa Etienne,,,Saint Etienne,,
FrenchA_Marseille,Marseille,Marseille,Marsiglia,Marseille,Marsella,マルセイユ,Marselha,Марсель,马赛,馬賽,馬賽,마르세유,مرسيليا,Marseille,Marsilya,Marseille,มาร์กเซย,Marseille,,,Marsylia,,
FrenchA_Montpellier,Montpellier,Montpellier,Montpellier,Montpellier,Montpellier,モンペリエ,Montpellier,Монпелье,蒙彼利埃,蒙彼利埃,蒙彼利埃,몽펠리에,مونبلييه,Montpellier,Montpellier,Montpellier,มงต์เปลลิเยร์,Montpellier,,,Montpellier,,
FrenchA_Nice,Nice,Nice,Nizza,Nizza,Niza,ニース,Nice,Ницца,尼斯,尼斯,尼斯,니스,نيس,Nice,Nice,Nice,นิส,Nice,,,Nicea,,
FrenchA_Monaco,Monaco,Monaco,Monaco,Monaco,Mónaco,モナコ,Mónaco,Монако,摩纳哥,摩納哥,摩納哥,모나코,موناكو,Monaco,Monako,Monaco,โมนาโก,Reims,,,Monako,,
FrenchA_Nimes,Nimes,Nîmes,Nimes,Nimes,Nimes,ニーム,Nimes,Ним,尼姆,尼姆,尼姆,님,نيم,Nimes,Nimes,Nimes,นีม,Nimes,,,Nimes,,
FrenchA_Rennes,Rennes,Rennes,Rennes,Rennes,Rennes,レンヌ,Rennes,Ренн,雷恩,雷恩,雷恩,렌,رين,Rennes,Rennes,Rennes,แรนส์,Rennes,,,Rennes,,
FrenchA_Strasbourg,Strasbourg,Strasbourg,Strasburgo,Straßburg,Estrasburgo,ストラスブール,Estrasburgo,Страсбург,斯特拉斯堡,斯特拉斯堡,斯特拉斯堡,스트라스부르,ستراسبورغ,Straatsburg,Strasbourg,Strasbourg,สตราสบูร์ก,Strasbourg,,,Strasburg,,
FrenchA_Nantes,Nantes,Nantes,Nantes,Nantes,Nantes,ナント,Nantes,Нант,南特,南特,南特,낭트,نانت,Nantes,Nantes,Nantes,น็องต์,Nantes,,,Nantes,,
FrenchA_Angers,Angers,Angers,Angers,Angers,Angers,アンジェ,Irrita,Анже,安格斯,安格斯,安格斯,분노,أنجيه,Angers,Angers,Angers,แองเกอะ,Angers,,,Angers,,
FrenchA_Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,ボルドー,Bordeaux,Bordeaux,波尔多,波爾多,波爾多,보르도,بوردو,Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,,,Bordeaux,,
FrenchA_Brest,Brest,Brest,Brest,Brest,Brest,ブレスト,Brest,Brest,布雷斯特,布雷斯特,布雷斯特,브레스트,بريست,Brest,Brest,Brest,Brest,Brest,,,Brest,,
FrenchA_Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,クレルモン＝フェラン,Clermont-Ferrand,Clermont-Ferrand,克莱蒙费朗,克萊蒙費朗,克萊蒙費朗,클레르몽페랑,كليرمون فيران,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,,,Clermont-Ferrand,,
FrenchA_Lorient,Lorient,Lorient,Lorient,Lorient,Lorient,ロリアン,Lorient,Lorient,洛里昂,洛里昂,洛里昂,로리앙,لوريان,Lorient,Lorient,Lorient,Lorient,Lorient,,,Lorient,,
FrenchA_Metz,Metz,Metz,Metz,Metz,Metz,メス,Metz,Metz,梅斯,梅斯,梅斯,메스,ميتز,Metz,Metz,Metz,Metz,Metz,,,Metz,,
FrenchA_Reims,Reims,Reims,Reims,Reims,Reims,ランス,Reims,Реймс,兰斯,蘭斯,蘭斯,랭스,رانس,Reims,Reims,Reims,แร็งส์,Reims,,,Reims,,
FrenchA_Lens,Lens,Lens,Lens,Lens,Lens,ランス,Lens,Ланс,朗斯,朗斯,朗斯,랑스,لنس,Lens,Lens,Lens,ล็องซ์,Lens,,,Lens,,
FrenchA_Troyes,Troyes,Troyes,Troyes,Troyes,Troyes,トロワ,Troyes,Труа,特鲁瓦,特魯瓦,特魯瓦,트루아,تروا,Troyes,Troyes,Troyes,ทรัว,Troyes,,,Troyes,,
FrenchA_Caen,Caen,Caen,Caen,Caen,Caen,カーン,Caen,Кан,卡昂,卡昂,卡昂,캉,كاين,Caen,Caen,Komune di departemen Calvados,ก็อง,Caen,,,Caen,,
FrenchA_Dijon,Dijon,Dijon,Digione,Dijon,Dijon,ディジョン,Dijon,Дижон,第戎,第戎,第戎,디종,ديجون,Dijon,Dijon,Dijon,ดีฌง,Dijon,,,Dijon,,
FrenchA_Amiens,Amiens,Amiens,Amiens,Amiens,Amiens,アミアン,Amiens,Амьен,亚眠,亞眠,亞眠,아미앵,أميان,Amiens,Amiens,Amiens,อาเมียง,Amiens,,,Amiens,,
FrenchA_Toulouse,Toulouse,Toulouse,Tolosa,Toulouse,Toulouse,トゥールーズ,Toulouse,Тулуза,图卢兹,圖盧茲,圖盧茲,툴루즈,تولوز,Toulouse,Toulouse,Toulouse,ตูลูซ,Toulouse,,,Tuluza,,
FrenchA_EnAvantGuingamp,Guingamp,Guingamp,Guingamp,Guingamp,Guingamp,ガンガン,Guingamp,Генган,甘冈,甘岡,甘岡,갱강,غانغون,Guingamp,Guingamp,Guingamp,,Guingamp,,,Guingamp,,
FrenchA_SCBastia,Bastia,Bastia,Bastia,Bastia,Bastia,バスティア,Bastia,Бастия,巴斯蒂亚,巴斯蒂亞,巴斯蒂亞,바스티아,باستيا,Bastia,Bastia,Bastia,บัสตียา,Bastia,,,Bastia,,
FrenchA_StadeLavallois,Laval,Laval,Laval,Laval,Laval,ラヴァル,Laval,Лаваль,拉瓦勒,拉瓦勒,拉瓦勒,라발,لافال,Laval,Laval,Laval,ลาวาล,Laval,,,Laval,,
FrenchA_ParisFC,Parisian,Parisien,Parisian,Parisian,Parisian,パリ,Parisiense,Parisian,巴黎人,巴黎人,巴黎人,파리지앵,الباريسي,Parisian,Parisian,Parisian,ปารีส,Parisian,,,Parisian,,
