id,name,nation,A,B,C,D,type
20526,UnitedArabEmiratesLeaugeA_AlWaslF.C.,United_Arab_Emirates,200,2000,2000,2000,West Asia
20544,IraqLeagueA_Al-ZawraaSC,Iraq,1,500,500,500,West Asia
20521,UzbekistanLeagueA_PFCLokomotivTashkent,Uzbekistan,150,1500,1500,1500,West Asia
20525,UzbekistanLeagueA_FCNasaf,Uzbekistan,150,1500,1500,1500,West Asia
20547,UzbekistanLeagueA_PakhtakorTashkentFK,Uzbekistan,150,1500,1500,1500,West Asia
20845,JordanA_Al-Faisaly,Jordan,1,1,1,1000,West Asia
20846,JordanA_Al-WehdatSC,Jordan,1,1,1,1000,West Asia
20847,TajikistanA_FCIstiklol,Tajikistan,1,1,1,1000,West Asia
20848,IndianA_MumbaiCity,India,1,1,1,1000,West Asia
20849,IndianA_FCGoa,India,1,1,1,1000,West Asia
20850,TurkmenistanA_FCAhal,Turkmenistan,1,1,500,1,West Asia
