id,name,nation,A,B,C,D,type
20473,IndonesianLeagueA_BorneoSamarinda,Indonesia,100,1000,1000,1000,East Asia
20474,IndonesianLeagueA_MaduraUnitedF.C.,Indonesia,100,1000,1000,1000,East Asia
20477,IndonesianLeagueA_BaliUnitedF.C.,Indonesia,100,1000,1000,1000,East Asia
20479,IndonesianLeagueA_PersibBandung,Indonesia,100,1000,1000,1000,East Asia
20483,IndonesianLeagueA_PersijaJakarta,Indonesia,100,1000,1000,1000,East Asia
20476,IndonesianLeagueA_PersitaTangerang,Indonesia,1,500,500,1000,East Asia
20478,IndonesianLeagueA_Persikabo1973,Indonesia,1,500,500,1000,East Asia
20482,IndonesianLeagueA_PersebayaSurabaya,Indonesia,1,500,500,1000,East Asia
20484,IndonesianLeagueA_DewaUnitedF.C.,Indonesia,1,500,500,1000,East Asia
20867,MalaysiaLeagueA_SelangorFC,Malaysia,100,2000,2000,2000,East Asia
20868,MalaysiaLeagueA_KedahDarulAmanFC,Malaysia,100,2000,2000,2000,East Asia
20869,MalaysiaLeagueA_SabahFC,Malaysia,100,2000,2000,2000,East Asia
20870,MalaysiaLeagueA_KualaLumpurCityFC,Malaysia,100,2000,2000,2000,East Asia
20871,MalaysiaLeagueA_TerengganuFC,Malaysia,100,2000,2000,2000,East Asia
20533,HongKongLeagueA_KitcheeSC,CHINA_HONG_KONG,1,500,500,500,East Asia
40091,HongKongLeagueA_TaiPo,CHINA_HONG_KONG,1,500,500,500,East Asia
40092,HongKongLeagueA_LeeMan,CHINA_HONG_KONG,1,500,500,500,East Asia
40098,HongKongLeagueA_EasternSC,CHINA_HONG_KONG,1,500,500,500,East Asia
20844,PhilippineA_KayaFC-Iloilo,Philippines,1,500,500,500,East Asia
40093,PhilippineA_DynamicHerbCebuFC,Philippines,1,500,500,500,East Asia
20842,SingaporeA_LionCitySailorsFC,Singapore,1,500,500,500,East Asia
20843,SingaporeA_TampinesRoversFC,Singapore,1,500,500,500,East Asia
20515,SaudiArabianLeagueA_Al-AhliSaudiFC,Saudi_Arabia,200,2000,2000,2000,West Asia
20545,SaudiArabianLeagueA_AlNassrFC,Saudi_Arabia,200,2000,2000,2000,West Asia
20708,SaudiArabianLeagueA_Al Shabab,Saudi_Arabia,200,2000,2000,2000,West Asia
20709,SaudiArabianLeagueA_Al Taawon,Saudi_Arabia,200,2000,2000,2000,West Asia
20712,SaudiArabianLeagueA_Al-Ettifaq,Saudi_Arabia,200,2000,2000,2000,West Asia
20440,QatarLeagueA_Al-DuhailSC,Qatar,200,2000,2000,2000,West Asia
20443,QatarLeagueA_AlSaddSC,Qatar,200,2000,2000,2000,West Asia
20517,QatarLeagueA_Al-GharafaSC,Qatar,200,2000,2000,2000,West Asia
20529,QatarLeagueA_Al-RayyanSC,Qatar,200,2000,2000,2000,West Asia
30374,QatarLeagueA_Al-ArabiSC,Qatar,200,2000,2000,2000,West Asia
30375,QatarLeagueA_Al-AhliSC,Qatar,200,2000,2000,2000,West Asia
20518,IranLeagueA_TractorS.C.,Iran,200,2000,2000,2000,West Asia
20523,IranLeagueA_PersepolisF.C.,Iran,200,2000,2000,2000,West Asia
20527,IranLeagueA_EsteghlalF.C.,Iran,200,2000,2000,2000,West Asia
30323,IranLeagueA_SepahanFC,Iran,200,2000,2000,2000,West Asia
20520,IranLeagueA_ZobAhanEsfahanF.C.,Iran,100,1000,1000,1000,West Asia
30324,IranLeagueA_GolGoharSirjanFC,Iran,100,1000,1000,1000,West Asia
30325,IranLeagueA_MalavanBandarAnzali,Iran,100,1000,1000,1000,West Asia
30326,IranLeagueA_FooladFC,Iran,100,1000,1000,1000,West Asia
20445,UAELeagueA_AlAinFC,United_Arab_Emirates,200,2000,2000,2000,West Asia
20516,UnitedArabEmiratesLeaugeA_AlJaziraClub,United_Arab_Emirates,200,2000,2000,2000,West Asia
20522,UnitedArabEmiratesLeaugeA_AlWahdaFC,United_Arab_Emirates,200,2000,2000,2000,West Asia
20526,UnitedArabEmiratesLeaugeA_AlWaslF.C.,United_Arab_Emirates,200,2000,2000,2000,West Asia
40084,UnitedArabEmiratesLeaugeA_ShababAl-AhliClub,United_Arab_Emirates,200,2000,2000,2000,West Asia
40085,UnitedArabEmiratesLeaugeA_SharjahFC,United_Arab_Emirates,200,2000,2000,2000,West Asia
20544,IraqLeagueA_Al-ZawraaSC,Iraq,100,1000,1000,1000,West Asia
30376,IraqLeagueA_Al-ShortaSC,Iraq,100,1000,1000,1000,West Asia
30377,IraqLeagueA_Al-QuwaAl-Jawiya,Iraq,100,1000,1000,1000,West Asia
20521,UzbekistanLeagueA_PFCLokomotivTashkent,Uzbekistan,100,1000,1000,1000,West Asia
20525,UzbekistanLeagueA_FCNasaf,Uzbekistan,100,1000,1000,1000,West Asia
20547,UzbekistanLeagueA_PakhtakorTashkentFK,Uzbekistan,100,1000,1000,1000,West Asia
40095,UzbekistanLeagueA_FCAndijon,Uzbekistan,100,1000,1000,1000,West Asia
20845,JordanA_Al-Faisaly,Jordan,1,500,500,500,West Asia
20846,JordanA_Al-WehdatSC,Jordan,1,500,500,500,West Asia
40087,JordanA_Al-HusseinSC,Jordan,1,500,500,500,West Asia
40088,BahrainLeagueA_Al-KhaldiyaFC,Bahrain,100,1000,1000,1000,West Asia
40094,BahrainLeagueA_Al-MuharraqSC,Bahrain,100,1000,1000,1000,West Asia
20849,IndianA_FCGoa,India,100,1000,1000,1000,West Asia
30077,IndianA_MohunBaganSuperGiant,India,100,1000,1000,1000,West Asia
30079,IndianA_BengaluruFC,India,100,1000,1000,1000,West Asia
30080,IndianA_OdishaFC,India,100,1000,1000,1000,West Asia
20848,IndianA_MumbaiCity,India,1,500,500,1000,West Asia
30078,IndianA_KeralaBlastersFC,India,1,500,500,1000,West Asia
30081,IndianA_EastBengalFC,India,1,500,500,1000,West Asia
30082,IndianA_NorthEastUnitedFC,India,1,500,500,1000,West Asia
20850,TurkmenistanA_FCAhal,Turkmenistan,1,1,500,500,West Asia
40096,TurkmenistanA_FKArkadag,Turkmenistan,1,1,500,500,West Asia
20847,TajikistanA_FCIstiklol,Tajikistan,1,1,500,500,West Asia
40097,TajikistanA_RavshanKulob,Tajikistan,1,1,500,500,West Asia
40089,KuwaitLeagueA_KuwaitSC,Kuwait,1,1,500,500,West Asia
