id|England:3|Spain:3|Germany:3|Italy:3|France:3|Netherlands:3|Portugal:3|Belgium:3|Scotland:3|Austria:3|Serbia:3|Turkey:3|Switzerland:1|Ukraine:1|Czech_Republic:1|Norway:1|Denmark:1|Russia:1|Croatia:1|Greece:1|Israel:1|Cyprus:1|Sweden:1|Poland:1|Hungary:1,name,nation|England:2|Spain:2|Germany:2|Italy:2|France:2|Netherlands:2|Portugal:2|Belgium:2|Scotland:2|Austria:2|Serbia:2|Turkey:2|Switzerland:0|Ukraine:0|Czech_Republic:0|Norway:0|Denmark:0|Russia:0|Croatia:0|Greece:0|Israel:0|Cyprus:0|Sweden:0|Poland:0|Hungary:0,tierStatValue,qualificationWeight,type|A:0|B:11,type2|A:1|B:0,Unnamed: 7
30255,CzechA_ACSpartaPrague,Czech_Republic,74,100,B,B,
30256,NorwegianA_FKBodø/Glimt,Norway,70,200,B,B,
30257,NorwegianA_MoldeFK,Norway,68,300,B,B,
30386,NorwegianA_SKBrann,Norway,65,300,B,B,
20204,DanishA_Midtjylland,Denmark,72,200,B,B,
30258,DanishA_FCCopenhagen,Denmark,72,100,B,B,
30387,DanishA_BröndbyIF,Denmark,70,200,B,B,
20196,RussianA_ZenitSaintPetersburg,Russia,72,100,B,B,
20198,RussianA_Krasnodar,Russia,70,400,B,B,
20199,RussianA_PFCCSKAMoscow,Russia,70,400,B,B,
20208,CroatianA_GNKDinamoZagreb,Croatia,71,100,B,B,
30259,CroatianA_HNKHajdukSplit,Croatia,70,300,B,B,
30388,CroatianA_HNKRijeka,Croatia,69,300,B,B,
20201,GreekA_Olympiacos,Greece,75,100,B,B,
30194,GreekA_PAOKThessaloniki,Greece,74,100,B,B,
30195,GreekA_PanathinaikosFC,Greece,75,100,B,B,
30389,IsraelA_MaccabiHaifa,Israel,69,100,B,B,
30390,IsraelA_MaccabiTelAviv,Israel,69,100,B,B,
20203,CyprusA_Nicosia,Cyprus,70,500,B,B,
30391,CyprusA_ArisLimassol,Cyprus,69,200,B,B,
20205,SwedishA_Malmo,Sweden,70,500,B,B,
30392,SwedishA_BKHäcken,Sweden,68,200,B,B,
30393,PolishA_LegiaWarszawa,Poland,68,300,B,B,
30394,PolishA_LechPoznan,Poland,68,200,B,B,
20206,HungarianA_FerencvárosiTorna,Hungary,73,500,B,B,
30395,HungarianA_PuskásAkadémiaFC,Hungary,68,200,B,B,
